#Coverage (X)	Coverage
1.0	30.649345505673608
2.0	26.751094124403437
3.0	25.73568726855062
4.0	24.671762678971035
5.0	23.61526427312515
6.0	22.78056122145871
7.0	22.133988157712352
8.0	21.585440719250656
9.0	21.183931718715968
10.0	20.90718260490722
11.0	20.621522070618056
12.0	20.258629225498538
13.0	20.020496267104974
14.0	19.847713725567857
15.0	19.728894785828857
16.0	19.646711685842718
17.0	19.498683090084555
18.0	19.457591540091485
19.0	19.394716517812938
20.0	19.278372972651837
21.0	19.18777353110086
22.0	19.117967404004204
23.0	19.07142998593976
24.0	19.022912252213004
25.0	18.949640572707295
26.0	18.779828504663655
27.0	18.684278273956878
28.0	18.56347901855557
29.0	18.466938630017637
30.0	18.301582272214205
31.0	18.182763332475204
32.0	18.021367605996403
33.0	17.908489613244356
34.0	17.778778937362617
35.0	17.708477731350385
36.0	17.57629166089076
37.0	17.47034477295682
38.0	17.36934867417868
39.0	17.288155732023696
40.0	17.157454898310803
41.0	16.918826861001662
42.0	16.564350357446997
43.0	16.392062894825457
44.0	16.269778402677403
45.0	16.176703566548525
46.0	16.041547022595424
47.0	15.9544131334535
48.0	15.853912113590937
49.0	15.724696516624775
50.0	15.612313602788305
51.0	15.49497989979605
